nombre,ciudad,provincia,modalidad,fase,estado_inscripcion
A-ECSA-24/00003,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-24/00006,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-26/00001,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00096,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00095,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00094,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-24/00010,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-24/00009,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-24/00008,ALICANTE/ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00101,SANT JOAN D'ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00108,SANT JOAN D'ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00102,SANT JOAN D'ALACANT,ALICANTE,VENTA,En licitación,No indicado
A-ECSA-25/00017,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00016,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00042,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00015,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00019,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00012,ELX,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00010,JAVEA/XABIA,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00009,JAVEA/XABIA,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00024,SAN VICENTE DEL RASPEIG,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-24/00021,TORREVIEJA,ALICANTE,"ALQUILER, VENTA",Adjudicadas,No indicado
A-ECSA-24/00020,TORREVIEJA,ALICANTE,"ALQUILER, VENTA",Adjudicadas,No indicado
A-ECSA-24/00018,TORREVIEJA,ALICANTE,"ALQUILER, VENTA",Adjudicadas,No indicado
A-ECSA-24/00019,TORREVIEJA,ALICANTE,"ALQUILER, VENTA",Adjudicadas,No indicado
A-ECSA-25/00011,VILLAJOYOSA,ALICANTE,"ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-PPVP-26/00003,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",En construcción,Cerrado el plazo de inscripción
A-PPVP-26/00004,ALICANTE/ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",En construcción,Cerrado el plazo de inscripción
A-PPVP-26/00001,SANT JOAN D'ALACANT,ALICANTE,"ALQUILER EVHA, VENTA",En construcción,Cerrado el plazo de inscripción
