nombre,ciudad,provincia,calle,barrio,constructora,modalidad,fase,estado_inscripcion
A-ECSA-24/00003,ALICANTE/ALACANT,ALICANTE,AV DENIA 1,Complejo Vistahermosa,,VENTA,En licitación,No indicado
A-ECSA-24/00006,ALICANTE/ALACANT,ALICANTE,CL BANDA LOS CLAVELES  6A. PG 3 PP I/I FCA SACOS,El Baver,,VENTA,En licitación,No indicado
A-ECSA-26/00001,ALICANTE/ALACANT,ALICANTE,CL HERMANOS MACHADO 1,El Baver,,VENTA,En licitación,No indicado
A-ECSA-25/00096,ALICANTE/ALACANT,ALICANTE,CL AVELLANEDA  R-3 - APD/4 RABASA II B,Rabassa,,VENTA,En licitación,No indicado
A-ECSA-25/00095,ALICANTE/ALACANT,ALICANTE,CL AVELLANEDA  R-2 - APD/4 RABASA II B,Rabassa,,VENTA,En licitación,No indicado
A-ECSA-25/00094,ALICANTE/ALACANT,ALICANTE,CL AVELLANEDA  R-1  - APD/4 RABASA II B,Rabassa,,VENTA,En licitación,No indicado
A-ECSA-24/00010,ALICANTE/ALACANT,ALICANTE,AV JAIME I 9 APD/ PARCELA I-1,No indicado,,VENTA,En licitación,No indicado
A-ECSA-24/00009,ALICANTE/ALACANT,ALICANTE,CL ENFERMERA ANGELINA CEBALLO PARCELA R-13A,El Pau,,VENTA,En licitación,No indicado
A-ECSA-24/00008,ALICANTE/ALACANT,ALICANTE,CL MED RICARDO FERRE  PARCELA R-12,Joan Pau II / Juan Pablo II,,VENTA,En licitación,No indicado
A-ECSA-25/00017,ALICANTE/ALACANT,ALICANTE,CL PONCE DE LEON  APD/4 II R-6,Rabassa,"ALBALUZ, DESARROLLOS URBANOS, S.L.","ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00016,ALICANTE/ALACANT,ALICANTE,CL PONCE DE LEON  APD/4 II R-5,Rabassa,"ALBALUZ, DESARROLLOS URBANOS, S.L.","ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00042,ALICANTE/ALACANT,ALICANTE,CL PONCE DE LEON  R-10-11 -APD/4 RABASA IIB,Rabassa,"ALBALUZ, DESARROLLOS URBANOS, S.L.","ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00015,ALICANTE/ALACANT,ALICANTE,CL JACINTO VERDAGUER  APD/4 II R-4,Rabassa,"ALBALUZ, DESARROLLOS URBANOS, S.L.","ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-ECSA-25/00019,ALICANTE/ALACANT,ALICANTE,CL VASCO DE GAMA  APD/4 II R-13,Rabassa,"ALBALUZ, DESARROLLOS URBANOS, S.L.","ALQUILER EVHA, VENTA",Adjudicadas,No indicado
A-PPVP-26/00003,ALICANTE/ALACANT,ALICANTE,C/ SAN MIGUEL DE SALINAS S/N,Quatre-centes Vivendes,"FAMA REHABILITACIONES, S.L.U.","ALQUILER EVHA, VENTA",En construcción,Cerrado el plazo de inscripción
A-PPVP-26/00004,ALICANTE/ALACANT,ALICANTE,CL TORMOS 0,Aigua Amarga,"AITANA ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.L.","ALQUILER EVHA, VENTA",En construcción,Cerrado el plazo de inscripción
